xinxi,leixing
天津市河东区大光明桥处的华润超市九号线地铁出口处陌拜单车摆放在便道上导致人没有地方走请有关部门处理,0
"河东区二号桥街福东里8号楼前面的垃圾中转站，每天4点半开始工作，产生噪声和异味污染。希望有关部门进行处理。

",0
北辰区京津公路以东段北辰道每到傍晚就有土方作业的重型翻斗车行驶，在经过北辰道与果园东路红绿灯路口时，只要直行无车辆等信号灯，重型翻斗车就会无视直行红灯，肆意闯行。希望有关部门进行处理。,0
河东区武警医院门口停车场有工作人员自画停车位，且工作人员并无统一工作服，没有公众停车的工作证，并存在漫天要价行为。,0
哈哈,0
曹庄地铁站旁的三蹦子就这么停在路中间拉客，车都得绕着走，公交都得停在路中间。 ​​​希望有关部门进行治理。,0
河东区卫国道一品家园小区门前，一棵直径10多厘米、高十几米的大树倒伏横在路面上，并砸到三辆汽车，致小区居民无法进出。造成严重安全隐患,0
坐标河北区淮安道，几个月来路一直没干过。水枪喷半米高，路边车位不知哪位邻居的车，车顶前挡风，被淋得稀稀拉拉。小区的老人们骑车进进出出，躲着积水只能走机动车道，路滑道窄，非常危险。不时还会喷得车辆报警，噪声扰民严重。 ​​​,0
 天津静海蔡公庄镇所辖各村，烧煤改燃气，但是燃气管道随意架设，全部暴露在外，安全隐患非常大，如有意外后果严重，望有关部门抓紧整改,0
天津市河北区北站立交桥与万柳村大街交口处，电缆发生垂落情况，给过往路人带来潜在安全隐患，望相关部门尽快解决。,0
和平区赤峰道是单行路，道路两侧均画有黄色“禁止停车线”，但仍有个别车主无视规则将车停在路边，经常造成道路拥堵，希望相关部门加强治理。,0
"嫌疑人性别: 男
是否是少数民族: 是
嫌疑人身高: 170-180
嫌疑人年龄: 20-30
晚九点钟左右在百货大楼公交站天桥附近，一男子跟踪情侣，并将手伸到情侣中间女士背的单肩背包中，万幸未曾得手。该人面容白净，体瘦。",1
金狮桥地铁站出口马路出租车会选活，尤其雨天会谈一口价，不同意就不拉，还曾有过乘客上车之后出租车司机再去接网约车的活赚取外快而把车上乘客赶下车的情况，出租车是城市很重要的形象，天津虽非旅游城市但也为国际化的大都市直辖市，希望能严加管理，不要给来天津的朋友和游客一个黑心的第一印象。,0
天津市河东区海河东路国泰桥下附近的信号灯安装位置有些欠妥，尤其是位置安装在桥下10米左右，影响驾驶员行驶，希望有关部门把信号灯安装在国泰桥的两侧。,0
据群众反映科研西路那块，有条路没开通，没路名，虽然一直没开通，但每天有很多行人自行车来回过，可每天都有垃圾清理的车停在那等着小环卫车往里面倒垃圾，虽然它身后的楼房还是空的，但隔着绿化带每天路过都能闻到臭味，夏天味道更甚，白天那条道都没法走人，地面上大片污渍，晚上走过那块也是臭的。 ​​​希望有关部门进行治理。,0
